Batch number: 2
Checked on 2022-06-11, 18:48:23

Total number of clocks: 33
Number of clocks passing quality control (3-minute tolerance): 19
Batch quality: 57.6%

Clocks to send back for readjustment:
clock_10    8 min
clock_32    7 min
clock_11    6 min
clock_2     6 min
clock_7     6 min
clock_0     5 min
clock_1     5 min
clock_30    5 min
clock_13    4 min
clock_23    4 min
clock_25    4 min
clock_27    4 min
clock_31    4 min
clock_4     4 min
