imdb_rating,n_lines,n_directions,n_words,n_speak_char,andy,angela,creed,darryl,david,dwight,erin,gabe,holly,jan,jim,karen,kelly,kevin,meredith,michael,nellie,oscar,pam,phyllis,robert,ryan,stanley,toby,andy_perc,angela_perc,creed_perc,darryl_perc,david_perc,dwight_perc,erin_perc,gabe_perc,holly_perc,jan_perc,jim_perc,karen_perc,kelly_perc,kevin_perc,meredith_perc,michael_perc,nellie_perc,oscar_perc,pam_perc,phyllis_perc,robert_perc,ryan_perc,stanley_perc,toby_perc,michael_dummy,dwight_dummy,jim_dummy,pam_dummy,andy_dummy,angela_dummy,kevin_dummy,erin_dummy,oscar_dummy,ryan_dummy,darryl_dummy,phyllis_dummy,kelly_dummy,toby_dummy,jan_dummy,stanley_dummy,meredith_dummy,holly_dummy,nellie_dummy,gabe_dummy,robert_dummy,creed_dummy,david_dummy,karen_dummy,writer_Aaron Shure,writer_Allison Silverman,writer_B.J. Novak,writer_Brent Forrester,writer_Carrie Kemper,writer_Charlie Grandy,writer_Daniel Chun,writer_Gene Stupnitsky;Lee Eisenberg,writer_Greg Daniels,writer_Halsted Sullivan;Warren Lieberstein,writer_Jennifer Celotta,writer_Justin Spitzer,writer_Lee Eisenberg;Gene Stupnitsky,writer_Michael Schur,writer_Mindy Kaling,writer_Owen Ellickson,writer_Paul Lieberstein,writer_Robert Padnick,writer_Steve Hely,writer_Warren Lieberstein;Halsted Sullivan,low_appearance_writer,director_B.J. Novak,director_Brent Forrester,director_Charles McDougall,director_David Rogers,director_Greg Daniels,director_Harold Ramis,director_Jeffrey Blitz,director_Jennifer Celotta,director_John Krasinski,director_Ken Kwapis,director_Ken Whittingham,director_Matt Sohn,director_Paul Feig,director_Paul Lieberstein,director_Rainn Wilson,director_Randall Einhorn,director_Steve Carell,director_Troy Miller,director_Tucker Gates,low_appearance_director,multi_part
8.2,269,40,2659,16,0.0,13.0,16.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,2.0,0.0,108.0,0.0,7.0,27.0,3.0,0.0,1.0,3.0,0.0,0.0,0.04924242424242424,0.06060606060606061,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.11363636363636363,0.0,0.011363636363636364,0.007575757575757576,0.0,0.4090909090909091,0.0,0.026515151515151516,0.10227272727272728,0.011363636363636364,0.0,0.003787878787878788,0.011363636363636364,0.0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.2,268,38,2517,12,0.0,3.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,49.0,0.0,3.0,3.0,0.0,85.0,0.0,0.0,25.0,0.0,0.0,18.0,3.0,5.0,0.0,0.012096774193548387,0.0,0.0,0.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.1975806451612903,0.0,0.012096774193548387,0.012096774193548387,0.0,0.34274193548387094,0.0,0.0,0.10080645161290322,0.0,0.0,0.07258064516129033,0.012096774193548387,0.020161290322580645,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.6,254,46,2445,14,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,46.0,40.0,0.0,1.0,1.0,0.0,73.0,0.0,4.0,32.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10328638497652583,0.0,0.0,0.0,0.215962441314554,0.18779342723004694,0.0,0.004694835680751174,0.004694835680751174,0.0,0.3427230046948357,0.0,0.018779342723004695,0.15023474178403756,0.018779342723004695,0.0,0.028169014084507043,0.0,0.004694835680751174,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,273,30,2869,14,0.0,5.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,52.0,26.0,0.0,2.0,4.0,0.0,103.0,0.0,1.0,30.0,1.0,0.0,1.0,4.0,1.0,0.0,0.019455252918287938,0.0038910505836575876,0.0,0.0,0.16342412451361868,0.0,0.0,0.0,0.20233463035019456,0.10116731517509728,0.0,0.007782101167315175,0.01556420233463035,0.0,0.40077821011673154,0.0,0.0038910505836575876,0.11673151750972763,0.0038910505836575876,0.0,0.0038910505836575876,0.01556420233463035,0.0038910505836575876,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.4,275,39,2585,19,0.0,13.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,53.0,0.0,1.0,8.0,0.0,80.0,0.0,6.0,38.0,4.0,0.0,2.0,2.0,0.0,0.0,0.035326086956521736,0.0,0.0,0.0,0.09239130434782608,0.0,0.0,0.0,0.0,0.14402173913043478,0.0,0.002717391304347826,0.021739130434782608,0.0,0.21739130434782608,0.0,0.016304347826086956,0.10326086956521739,0.010869565217391304,0.0,0.005434782608695652,0.005434782608695652,0.0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.8,283,42,2788,20,0.0,9.0,4.0,11.0,0.0,42.0,0.0,0.0,0.0,0.0,28.0,0.0,8.0,11.0,10.0,87.0,0.0,8.0,17.0,5.0,0.0,15.0,5.0,3.0,0.0,0.03180212014134275,0.014134275618374558,0.038869257950530034,0.0,0.14840989399293286,0.0,0.0,0.0,0.0,0.0989399293286219,0.0,0.028268551236749116,0.038869257950530034,0.0353356890459364,0.30742049469964666,0.0,0.028268551236749116,0.06007067137809187,0.0176678445229682,0.0,0.053003533568904596,0.0176678445229682,0.01060070671378092,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6,223,11,2534,16,0.0,1.0,0.0,3.0,0.0,22.0,0.0,0.0,0.0,0.0,29.0,0.0,4.0,0.0,3.0,75.0,0.0,1.0,17.0,4.0,0.0,2.0,8.0,0.0,0.0,0.0035587188612099642,0.0,0.010676156583629894,0.0,0.07829181494661921,0.0,0.0,0.0,0.0,0.10320284697508897,0.0,0.014234875444839857,0.0,0.010676156583629894,0.2669039145907473,0.0,0.0035587188612099642,0.060498220640569395,0.014234875444839857,0.0,0.0071174377224199285,0.028469750889679714,0.0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.0,361,43,2950,17,0.0,5.0,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,55.0,0.0,1.0,2.0,1.0,124.0,0.0,3.0,57.0,3.0,0.0,13.0,4.0,7.0,0.0,0.01567398119122257,0.003134796238244514,0.0,0.0,0.18808777429467086,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,0.003134796238244514,0.006269592476489028,0.003134796238244514,0.3887147335423197,0.0,0.009404388714733543,0.1786833855799373,0.009404388714733543,0.0,0.04075235109717868,0.012539184952978056,0.0219435736677116,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.3,262,21,2494,16,0.0,5.0,3.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,50.0,0.0,5.0,8.0,0.0,92.0,0.0,9.0,27.0,0.0,0.0,7.0,3.0,3.0,0.0,0.01858736059479554,0.011152416356877323,0.0,0.0,0.1412639405204461,0.0,0.0,0.0,0.0,0.18587360594795538,0.0,0.01858736059479554,0.02973977695167286,0.0,0.3420074349442379,0.0,0.03345724907063197,0.10037174721189591,0.0,0.0,0.026022304832713755,0.011152416356877323,0.011152416356877323,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.9,261,67,2758,21,0.0,2.0,9.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,27.0,0.0,10.0,7.0,0.0,101.0,0.0,5.0,28.0,1.0,0.0,13.0,2.0,1.0,0.0,0.007462686567164179,0.033582089552238806,0.011194029850746268,0.0,0.09328358208955224,0.0,0.0,0.0,0.0,0.10074626865671642,0.0,0.03731343283582089,0.026119402985074626,0.0,0.376865671641791,0.0,0.018656716417910446,0.1044776119402985,0.0037313432835820895,0.0,0.048507462686567165,0.007462686567164179,0.0037313432835820895,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
