imdb_rating
8.9
8.0
7.7
7.1
7.5
7.5
8.2
8.6
6.7
8.2
8.0
7.9
7.9
8.4
8.8
8.2
8.0
8.5
8.5
7.7
8.1
9.3
9.7
8.7
8.5
8.7
8.0
8.3
8.5
8.1
9.0
7.8
8.8
8.0
7.8
7.8
7.3
9.3
8.4
7.7
8.1
8.9
8.6
8.1
8.3
7.7
8.4
7.8
8.0
8.4
8.4
7.1
9.2
8.1
8.7
8.4
7.7
8.8
8.5
8.0
8.7
7.8
8.2
8.0
8.5
7.7
8.6
8.3
8.7
8.4
8.8
7.8
8.3
7.9
8.0
8.2
8.2
7.8
9.1
7.7
8.9
8.4
8.9
8.2
8.1
7.9
8.3
7.6
7.8
8.4
8.2
9.7
7.8
7.9
6.8
7.2
8.2
8.2
8.7
8.4
8.9
8.3
8.8
8.5
8.2
8.4
8.3
9.6
8.2
7.2
7.5
9.3
8.7
8.3
8.7
7.9
9.3
7.1
7.9
8.7
8.5
8.1
8.2
8.6
8.2
9.1
8.4
8.6
8.4
8.6
8.8
8.1
9.3
7.9
7.9
7.6
8.7
8.2
7.7
7.8
7.5
7.5
7.8
8.4
8.3
8.2
8.7
